0,1,2,3,4,5,6,7,8,9
8.4818215e-13,1.4013637e-12,7.9418064e-13,1.0181307e-13,5.9765335e-17,3.540716e-13,2.0371923e-19,1.0,7.144872e-14,8.855468e-13
1.067037e-12,3.0961589e-13,1.0,5.113338e-20,7.6412166e-17,3.3428287e-23,6.9321605e-13,6.200158e-20,6.356459e-16,4.9383507e-21
3.2855095e-15,1.0,1.3975719e-14,1.3756236e-18,8.328599e-12,6.273577e-13,1.3813709e-11,2.2907494e-10,2.7650401e-12,3.674981e-15
1.0,1.7650483e-19,1.4483142e-21,3.7549095e-20,1.7470145e-20,1.5264948e-14,3.1764542e-11,5.0155404e-15,7.0736124e-15,2.1217156e-13
1.3728558e-15,3.1289502e-12,3.2706566e-18,9.734582e-19,0.99999857,9.473545e-15,3.978773e-13,1.9652045e-12,3.246794e-15,1.3913213e-06
2.9805766e-16,1.0,1.4639382e-15,6.246731e-22,7.559695e-15,4.4272582e-17,2.0593004e-15,8.7230424e-11,1.06818505e-13,3.96282e-17
6.007264e-19,7.6187945e-10,1.1372584e-12,7.13808e-18,0.9999988,5.601403e-12,1.5334147e-14,1.4131792e-10,3.2776104e-09,1.2471703e-06
9.795682e-20,8.761429e-18,5.748025e-21,1.1290562e-18,3.23154e-14,2.147138e-18,1.7299873e-24,1.1045786e-16,1.08002054e-16,1.0
1.4448892e-10,3.507705e-12,5.3103723e-15,5.145353e-14,9.463476e-15,0.9204769,0.07949927,3.7099836e-14,2.3827186e-05,1.9760775e-11
3.9097273e-16,9.969291e-18,6.9217717e-18,9.117481e-15,1.3812979e-10,2.1802206e-16,4.227106e-21,1.7178162e-11,4.6980285e-13,1.0
1.0,5.1592454e-20,1.01921274e-17,7.927868e-24,1.8300717e-22,1.2179913e-18,2.98622e-17,9.034824e-18,8.967759e-19,4.8173874e-14
8.971802e-14,7.4704696e-26,5.1362046e-30,1.6108647e-25,8.1438415e-25,6.4609937e-16,1.0,6.473678e-30,1.932156e-18,2.951799e-26
9.96968e-16,1.4919221e-17,7.481729e-20,1.5703727e-15,4.6061637e-11,2.439571e-16,2.8752136e-20,3.868234e-12,1.7957632e-15,1.0
1.0,1.279054e-22,8.594822e-25,3.0317384e-27,2.0449632e-26,9.8819306e-20,2.1584472e-17,7.930891e-17,1.79859e-20,1.6189498e-14
1.4056733e-20,1.0,4.070877e-22,2.6842281e-21,1.4898171e-18,6.690286e-17,8.9296715e-17,4.8674768e-17,5.6696854e-16,2.9877978e-21
1.377472e-18,2.7383045e-16,1.3842764e-20,2.2737258e-13,1.7832832e-24,1.0,4.912648e-13,4.55688e-18,4.9851823e-19,6.962083e-16
1.814367e-13,4.4239807e-18,7.4010544e-20,3.042237e-18,8.4502853e-13,4.0332794e-17,2.4978572e-20,1.330666e-10,2.8642037e-18,1.0
2.7215735e-13,7.778956e-15,1.00483254e-13,1.8651386e-14,9.133197e-19,1.1460558e-14,2.836527e-21,1.0,6.4725606e-17,1.3946674e-13
1.2954112e-11,5.125135e-10,2.7166627e-07,0.9999989,5.6517808e-15,8.636088e-07,4.2863894e-12,4.635046e-12,1.2356435e-09,1.7450376e-09
1.2070115e-17,6.5412337e-12,8.9058465e-12,4.3285344e-15,1.0,6.647129e-13,7.1023196e-17,3.9826382e-08,1.5706312e-14,1.4584424e-11
2.949377e-12,2.1373786e-12,2.456243e-13,2.0561655e-10,4.814421e-10,2.4306538e-12,5.558085e-19,1.5460577e-07,3.100295e-13,0.9999999
6.7756627e-16,6.620752e-23,1.7826864e-22,4.9706646e-23,1.2261283e-22,7.2697465e-10,1.0,1.0781816e-29,5.18182e-16,6.54251e-26
1.6503069e-15,1.7485071e-21,1.4289486e-27,3.3058183e-27,6.249651e-18,7.305527e-17,1.0,5.8781286e-26,3.765885e-19,2.1736359e-23
3.408858e-19,9.519189e-18,1.485026e-21,6.252174e-12,1.9316307e-20,1.0,7.494836e-10,9.0758864e-20,8.591719e-15,4.231136e-15
1.3719898e-13,1.8881152e-09,1.4933425e-13,7.437209e-16,0.99999976,7.594561e-13,4.4868094e-12,2.7237232e-09,1.12212816e-14,2.0465765e-07
1.0,8.181174e-18,3.2413537e-15,1.00913754e-19,5.8130706e-15,3.4321036e-15,3.0403841e-12,2.2813625e-13,5.24068e-13,2.518257e-11
2.2124297e-13,1.5643431e-11,7.7403565e-15,8.3576847e-13,3.4313965e-15,2.5894341e-14,8.51008e-21,1.0,7.09122e-17,7.893975e-10
9.984489e-23,9.264625e-16,3.52095e-17,6.203349e-21,1.0,2.752209e-18,2.6619417e-18,5.8867274e-17,3.3234978e-18,1.5871876e-15
1.0,8.214948e-18,3.035852e-16,5.79168e-18,1.0510626e-21,8.379695e-17,2.5845524e-19,2.2697457e-15,1.377017e-15,1.04124905e-14
6.505281e-18,1.0,5.6056625e-16,2.469736e-20,9.738377e-13,1.9871201e-17,8.498293e-16,1.0357323e-11,1.4313749e-14,2.4037564e-16
1.6378674e-26,4.7029612e-20,5.5160256e-21,1.0,6.69685e-24,9.975121e-16,6.232226e-25,2.9831997e-19,6.319934e-21,1.1582106e-17
4.668949e-18,1.0,2.5884255e-15,7.8167615e-23,2.2290984e-12,8.018866e-18,9.711864e-18,8.818017e-13,2.5257523e-14,5.3329825e-14
8.459893e-25,5.160392e-18,5.968235e-19,1.0,1.147014e-21,1.975937e-13,7.534108e-21,1.0947406e-18,7.738607e-17,1.0558826e-18
4.677001e-09,1.5217165e-13,5.856125e-12,1.1546196e-25,1.0,6.8837e-17,2.8667405e-10,7.5684384e-15,2.173118e-19,2.1754923e-17
2.4985496e-15,2.1634587e-10,6.3930953e-12,9.148916e-13,1.454236e-16,2.2588428e-17,7.3967925e-20,1.0,1.1886165e-16,3.2007644e-14
2.1327829e-14,2.9105478e-13,1.0,8.008965e-17,7.1001796e-17,2.5207717e-21,7.889792e-17,2.2113961e-13,3.0630056e-14,3.2271267e-16
3.63468e-12,1.5496159e-08,0.0017799047,1.3724004e-10,1.9137143e-11,3.69882e-15,2.9769644e-15,0.99822,2.367831e-12,2.0019018e-11
3.3438812e-19,1.0,4.5185386e-18,2.6816246e-24,2.7818737e-15,1.163235e-19,1.287221e-18,6.4676834e-14,2.0179374e-15,3.270153e-16
3.9577754e-09,1.1358655e-09,1.0,6.244849e-14,9.746947e-16,1.3793183e-17,8.002669e-11,4.0999e-12,4.569519e-10,3.477355e-17
4.1013311e-16,1.0,5.2964536e-16,2.4769078e-19,1.4891781e-14,4.5060098e-17,4.032057e-13,4.4177357e-13,2.2160098e-14,8.5494e-18
7.0274797e-13,1.0,2.1594669e-11,6.94119e-15,2.4780533e-10,1.6343683e-12,5.1637063e-12,5.421309e-09,5.8106026e-10,1.0270177e-11
8.650285e-12,7.922495e-07,6.582434e-05,1.7745141e-07,7.066622e-09,1.0261144e-12,2.4983187e-13,0.99993324,1.5203632e-11,1.934488e-09
4.8584404e-18,6.5362924e-09,2.3519684e-20,9.462988e-20,1.0,1.327562e-15,4.23527e-15,4.8464996e-11,1.0561847e-18,2.193e-08
4.8217787e-15,8.190552e-08,0.9999999,4.074948e-14,3.704801e-11,9.7412534e-17,3.4825182e-10,1.4215787e-12,4.6462068e-14,1.0584029e-18
1.3242658e-20,3.329165e-13,8.2583876e-14,0.9999999,8.8193765e-17,1.3032216e-07,1.9882745e-15,6.175005e-17,3.2967346e-14,1.0426793e-15
2.280976e-16,3.262602e-16,8.689562e-19,1.7298222e-09,3.7653192e-22,1.0,1.8813088e-11,1.0212438e-18,3.6136427e-10,3.0201416e-17
1.3314602e-18,1.0,1.1809305e-13,3.024864e-20,1.4716905e-11,3.6325662e-16,1.5799265e-15,1.1657751e-13,3.4384812e-10,6.60164e-14
2.2638115e-17,5.8435657e-18,1.0,7.365823e-19,1.9525124e-15,3.7112926e-19,3.145597e-15,3.4751504e-19,2.3478027e-14,1.0640395e-23
1.6995846e-23,3.957088e-13,8.5246773e-19,5.225246e-18,1.0,2.5345557e-17,4.0065318e-19,5.7390374e-15,6.973775e-17,1.7736678e-11
4.7279802e-21,1.6005646e-14,1.9052832e-22,7.077328e-25,1.0,1.1655047e-19,3.6610253e-18,1.3198766e-15,2.0916047e-20,3.3893187e-11
6.9669062e-12,3.8056277e-19,9.5530196e-18,5.3255358e-20,3.5450186e-18,1.2888373e-11,1.0,3.525344e-25,2.2034237e-15,6.066911e-21
2.367642e-19,1.4591928e-16,1.7917134e-14,1.0,3.3130606e-22,7.434907e-14,2.7970072e-21,7.0028094e-16,4.5512213e-16,2.7106592e-16
5.77878e-22,3.2695197e-22,2.0100428e-27,3.3178627e-13,7.508626e-22,1.0,7.341402e-12,2.0619108e-22,6.976439e-16,5.336202e-16
6.429847e-22,1.492529e-20,1.1433857e-25,1.7821292e-14,3.3073893e-23,1.0,3.8553325e-14,7.083099e-20,3.4847915e-17,3.009571e-14
1.6005638e-15,1.4957151e-20,3.299739e-31,1.7661233e-22,9.9107676e-21,5.561896e-14,1.0,7.630488e-27,4.9384006e-16,4.8185187e-25
1.0,1.0749982e-15,6.4219326e-21,5.106386e-25,5.9814527e-27,7.777583e-17,1.5356263e-18,2.5007212e-17,6.96745e-16,1.0680035e-17
5.593894e-23,6.5957215e-15,7.579713e-21,3.58231e-24,1.0,6.289688e-18,4.9081986e-17,3.7819157e-15,1.446515e-20,2.760013e-16
4.683155e-15,1.0,2.0142028e-12,9.1066224e-18,3.8446594e-12,4.4059983e-16,8.4507474e-14,2.163893e-09,8.78743e-12,3.6797225e-15
1.9440759e-16,4.797601e-21,6.7186836e-22,2.4120117e-18,5.2609306e-13,4.8141812e-18,1.3634527e-23,5.906241e-13,2.7366595e-20,1.0
1.5034514e-17,7.172206e-18,2.9504593e-26,2.501555e-14,6.446318e-17,1.0,5.906097e-16,1.8012829e-11,1.1013831e-12,9.7331e-10
1.3769638e-16,1.6008377e-16,1.05527906e-17,2.859316e-16,2.90242e-21,8.3574803e-16,4.750401e-27,1.0,5.0566588e-20,1.0899805e-13
